pupyear,sitedate,sitecode,region,lat,longit,brand,adjsex
2005,6/4/2005,SMI,8,34.03,-120.44,7897,M
2005,6/5/2005,SMI,8,34.03,-120.44,152,F
2005,6/5/2005,SMI,8,34.03,-120.44,408,F
2005,6/5/2005,SMI,8,34.03,-120.44,552,F
2005,6/5/2005,SMI,8,34.03,-120.44,753,M
2005,6/5/2005,SMI,8,34.03,-120.44,784,F
2005,6/5/2005,SMI,8,34.03,-120.44,961,F
2005,6/5/2005,SMI,8,34.03,-120.44,1214,F
2005,6/5/2005,SMI,8,34.03,-120.44,1644,F
2005,6/5/2005,SMI,8,34.03,-120.44,1771,F
2005,6/5/2005,SMI,8,34.03,-120.44,1792,F
2005,6/5/2005,SMI,8,34.03,-120.44,1921,F
2005,6/5/2005,SMI,8,34.03,-120.44,2049,F
2005,6/5/2005,SMI,8,34.03,-120.44,2239,F
2005,6/5/2005,SMI,8,34.03,-120.44,2283,F
2005,6/5/2005,SMI,8,34.03,-120.44,2398,F
2005,6/5/2005,SMI,8,34.03,-120.44,2507,F
2005,6/5/2005,SMI,8,34.03,-120.44,2515,F
2005,6/5/2005,SMI,8,34.03,-120.44,2680,F
2005,6/5/2005,SMI,8,34.03,-120.44,2710,F
2005,6/5/2005,SMI,8,34.03,-120.44,2827,F
2005,6/5/2005,SMI,8,34.03,-120.44,2875,F
2005,6/5/2005,SMI,8,34.03,-120.44,2878,F
2005,6/5/2005,SMI,8,34.03,-120.44,2896,F
2005,6/5/2005,SMI,8,34.03,-120.44,2924,F
2005,6/5/2005,SMI,8,34.03,-120.44,2938,F
2005,6/5/2005,SMI,8,34.03,-120.44,2942,F
2005,6/5/2005,SMI,8,34.03,-120.44,3082,F
2005,6/5/2005,SMI,8,34.03,-120.44,3085,F
2005,6/5/2005,SMI,8,34.03,-120.44,3087,F
2005,6/5/2005,SMI,8,34.03,-120.44,3259,F
2005,6/5/2005,SMI,8,34.03,-120.44,3264,F
2005,6/5/2005,SMI,8,34.03,-120.44,3277,F
2005,6/5/2005,SMI,8,34.03,-120.44,3331,F
2005,6/5/2005,SMI,8,34.03,-120.44,3346,F
2005,6/5/2005,SMI,8,34.03,-120.44,3381,F
2005,6/5/2005,SMI,8,34.03,-120.44,3409,F
2005,6/5/2005,SMI,8,34.03,-120.44,3459,F
2005,6/5/2005,SMI,8,34.03,-120.44,3472,F
2005,6/5/2005,SMI,8,34.03,-120.44,3483,F
2005,6/5/2005,SMI,8,34.03,-120.44,3581,F
2005,6/5/2005,SMI,8,34.03,-120.44,3635,F
2005,6/5/2005,SMI,8,34.03,-120.44,3649,F
2005,6/5/2005,SMI,8,34.03,-120.44,3876,F
2005,6/5/2005,SMI,8,34.03,-120.44,3892,F
2005,6/5/2005,SMI,8,34.03,-120.44,3907,F
2005,6/5/2005,SMI,8,34.03,-120.44,4018,F
2005,6/5/2005,SMI,8,34.03,-120.44,4024,F
2005,6/5/2005,SMI,8,34.03,-120.44,4084,F
2005,6/5/2005,SMI,8,34.03,-120.44,4115,F
2005,6/5/2005,SMI,8,34.03,-120.44,4260,F
2005,6/5/2005,SMI,8,34.03,-120.44,4388,F
2005,6/5/2005,SMI,8,34.03,-120.44,4490,F
2005,6/5/2005,SMI,8,34.03,-120.44,4717,F
2005,6/5/2005,SMI,8,34.03,-120.44,4721,F
2005,6/5/2005,SMI,8,34.03,-120.44,4779,F
2005,6/5/2005,SMI,8,34.03,-120.44,4808,F
2005,6/5/2005,SMI,8,34.03,-120.44,4828,F
2005,6/5/2005,SMI,8,34.03,-120.44,4836,F
2005,6/5/2005,SMI,8,34.03,-120.44,4871,F
2005,6/5/2005,SMI,8,34.03,-120.44,4942,F
2005,6/5/2005,SMI,8,34.03,-120.44,5008,F
2005,6/5/2005,SMI,8,34.03,-120.44,5077,F
2005,6/5/2005,SMI,8,34.03,-120.44,5081,F
2005,6/5/2005,SMI,8,34.03,-120.44,5140,F
2005,6/5/2005,SMI,8,34.03,-120.44,5201,F
2005,6/5/2005,SMI,8,34.03,-120.44,5260,F
2005,6/5/2005,SMI,8,34.03,-120.44,5282,F
2005,6/5/2005,SMI,8,34.03,-120.44,5328,F
2005,6/5/2005,SMI,8,34.03,-120.44,5374,F
2005,6/5/2005,SMI,8,34.03,-120.44,5389,F
2005,6/5/2005,SMI,8,34.03,-120.44,5392,F
2005,6/5/2005,SMI,8,34.03,-120.44,5469,M
2005,6/5/2005,SMI,8,34.03,-120.44,5586,F
2005,6/5/2005,SMI,8,34.03,-120.44,5622,F
2005,6/5/2005,SMI,8,34.03,-120.44,5770,F
2005,6/5/2005,SMI,8,34.03,-120.44,6033,F
2005,6/5/2005,SMI,8,34.03,-120.44,6076,F
2005,6/5/2005,SMI,8,34.03,-120.44,6119,F
2005,6/5/2005,SMI,8,34.03,-120.44,6277,F
2005,6/5/2005,SMI,8,34.03,-120.44,6378,F
2005,6/5/2005,SMI,8,34.03,-120.44,6716,M
2005,6/5/2005,SMI,8,34.03,-120.44,6733,F
2005,6/5/2005,SMI,8,34.03,-120.44,6876,F
2005,6/5/2005,SMI,8,34.03,-120.44,6984,M
2005,6/5/2005,SMI,8,34.03,-120.44,7064,F
2005,6/5/2005,SMI,8,34.03,-120.44,7079,F
2005,6/5/2005,SMI,8,34.03,-120.44,7575,F
2005,6/5/2005,SMI,8,34.03,-120.44,7855,F
2005,6/5/2005,SMI,8,34.03,-120.44,7996,F
2005,6/6/2005,SMI,8,34.03,-120.44,336,F
2005,6/6/2005,SMI,8,34.03,-120.44,542,F
2005,6/6/2005,SMI,8,34.03,-120.44,552,F
2005,6/6/2005,SMI,8,34.03,-120.44,662,F
2005,6/6/2005,SMI,8,34.03,-120.44,722,F
2005,6/6/2005,SMI,8,34.03,-120.44,753,M
2005,6/6/2005,SMI,8,34.03,-120.44,1268,F
2005,6/6/2005,SMI,8,34.03,-120.44,1395,F
2005,6/6/2005,SMI,8,34.03,-120.44,1460,F
2005,6/6/2005,SMI,8,34.03,-120.44,1487,F
2005,6/6/2005,SMI,8,34.03,-120.44,1644,F
2005,6/6/2005,SMI,8,34.03,-120.44,1829,F
2005,6/6/2005,SMI,8,34.03,-120.44,1909,F
2005,6/6/2005,SMI,8,34.03,-120.44,2239,F
2005,6/6/2005,SMI,8,34.03,-120.44,2258,F
2005,6/6/2005,SMI,8,34.03,-120.44,2286,F
2005,6/6/2005,SMI,8,34.03,-120.44,2363,F
2005,6/6/2005,SMI,8,34.03,-120.44,2369,F
2005,6/6/2005,SMI,8,34.03,-120.44,2386,F
2005,6/6/2005,SMI,8,34.03,-120.44,2608,F
2005,6/6/2005,SMI,8,34.03,-120.44,2635,F
2005,6/6/2005,SMI,8,34.03,-120.44,2680,F
2005,6/6/2005,SMI,8,34.03,-120.44,2833,F
2005,6/6/2005,SMI,8,34.03,-120.44,2896,F
2005,6/6/2005,SMI,8,34.03,-120.44,3081,F
2005,6/6/2005,SMI,8,34.03,-120.44,3169,F
2005,6/6/2005,SMI,8,34.03,-120.44,3243,F
2005,6/6/2005,SMI,8,34.03,-120.44,3264,F
2005,6/6/2005,SMI,8,34.03,-120.44,3337,F
2005,6/6/2005,SMI,8,34.03,-120.44,3346,F
2005,6/6/2005,SMI,8,34.03,-120.44,3437,F
2005,6/6/2005,SMI,8,34.03,-120.44,3459,F
2005,6/6/2005,SMI,8,34.03,-120.44,3483,F
2005,6/6/2005,SMI,8,34.03,-120.44,3490,F
2005,6/6/2005,SMI,8,34.03,-120.44,3638,F
2005,6/6/2005,SMI,8,34.03,-120.44,3793,M
2005,6/6/2005,SMI,8,34.03,-120.44,4099,F
2005,6/6/2005,SMI,8,34.03,-120.44,4189,F
2005,6/6/2005,SMI,8,34.03,-120.44,4260,F
2005,6/6/2005,SMI,8,34.03,-120.44,4388,F
2005,6/6/2005,SMI,8,34.03,-120.44,4490,F
2005,6/6/2005,SMI,8,34.03,-120.44,4693,F
2005,6/6/2005,SMI,8,34.03,-120.44,4717,F
2005,6/6/2005,SMI,8,34.03,-120.44,4779,F
2005,6/6/2005,SMI,8,34.03,-120.44,4880,F
2005,6/6/2005,SMI,8,34.03,-120.44,4880,F
2005,6/6/2005,SMI,8,34.03,-120.44,5051,F
2005,6/6/2005,SMI,8,34.03,-120.44,5064,F
2005,6/6/2005,SMI,8,34.03,-120.44,5077,F
2005,6/6/2005,SMI,8,34.03,-120.44,5115,F
2005,6/6/2005,SMI,8,34.03,-120.44,5260,F
2005,6/6/2005,SMI,8,34.03,-120.44,5314,F
2005,6/6/2005,SMI,8,34.03,-120.44,5359,F
2005,6/6/2005,SMI,8,34.03,-120.44,5665,F
2005,6/6/2005,SMI,8,34.03,-120.44,5686,F
2005,6/6/2005,SMI,8,34.03,-120.44,5770,F
2005,6/6/2005,SMI,8,34.03,-120.44,5776,F
2005,6/6/2005,SMI,8,34.03,-120.44,5843,F
2005,6/6/2005,SMI,8,34.03,-120.44,5911,F
2005,6/6/2005,SMI,8,34.03,-120.44,5961,F
2005,6/6/2005,SMI,8,34.03,-120.44,6033,F
2005,6/6/2005,SMI,8,34.03,-120.44,6159,F
2005,6/6/2005,SMI,8,34.03,-120.44,7125,F
2005,6/6/2005,SMI,8,34.03,-120.44,7488,F
2005,6/7/2005,SMI,8,34.03,-120.44,187,F
2005,6/7/2005,SMI,8,34.03,-120.44,753,M
2005,6/7/2005,SMI,8,34.03,-120.44,784,F
2005,6/7/2005,SMI,8,34.03,-120.44,1109,F
2005,6/7/2005,SMI,8,34.03,-120.44,1268,F
2005,6/7/2005,SMI,8,34.03,-120.44,1344,M
2005,6/7/2005,SMI,8,34.03,-120.44,1362,F
2005,6/7/2005,SMI,8,34.03,-120.44,1556,F
2005,6/7/2005,SMI,8,34.03,-120.44,1602,F
2005,6/7/2005,SMI,8,34.03,-120.44,1644,F
2005,6/7/2005,SMI,8,34.03,-120.44,1902,F
2005,6/7/2005,SMI,8,34.03,-120.44,2049,F
2005,6/7/2005,SMI,8,34.03,-120.44,2057,F
2005,6/7/2005,SMI,8,34.03,-120.44,2116,F
2005,6/7/2005,SMI,8,34.03,-120.44,2156,F
2005,6/7/2005,SMI,8,34.03,-120.44,2193,F
2005,6/7/2005,SMI,8,34.03,-120.44,2231,F
2005,6/7/2005,SMI,8,34.03,-120.44,2293,F
