pupyear,sitedate,sitecode,region,lat,longit,brand,adjsex,code,withpup
95,7/21/1995,SMI,8,34.03,120.44,1011,F,EAC,N
94,7/22/1994,SMI,8,34.03,120.44,1011,F,EAC,N
94,6/1/1994,SMI,8,34.03,120.44,1011,F,EAC,N
93,6/22/1993,SMI,8,34.03,120.44,1011,F,WJR,N
93,8/2/1993,SMI,8,34.03,120.44,1011,F,EAC,N
94,5/24/1994,SMI,8,34.03,120.44,1011,F,EAC,N
96,7/27/1996,ANI,9,37.18,122.4,1015,F,ANI,
94,6/20/1994,SMI,8,34.03,120.44,1017,F,EAC,
94,6/11/1994,SMI,8,34.03,120.44,1017,F,WBM,N
93,5/18/1994,ANI,9,37.18,122.4,1020,F,,
95,6/22/1995,SMI,8,34.03,120.44,1020,F,EAC,N
93,7/28/1993,SMI,8,34.03,120.44,1021,F,EAC,N
97,5/30/1997,SMI,8,34.03,120.44,1021,F,WSR,Y
98,6/7/1998,SMI,8,34.03,120.44,1021,F,LTC,Y
98,6/8/1998,SMI,8,34.03,120.44,1021,F,LTC,Y
98,6/10/1998,SMI,8,34.03,120.44,1021,F,LTC,Y
97,6/24/1997,SMI,8,34.03,120.44,1021,F,WSR,
98,7/1/1998,SMI,8,34.03,120.44,1021,F,LTC,
97,7/12/1997,SMI,8,34.03,120.44,1021,F,WSR,Y
97,7/16/1997,SMI,8,34.03,120.44,1021,F,WSR,Y
98,7/16/1998,SMI,8,34.03,120.44,1021,F,LTC,
97,7/19/1997,SMI,8,34.03,120.44,1021,F,WSR,
98,7/29/1998,SMI,8,34.03,120.44,1021,F,LTC,
98,7/31/1998,SMI,8,34.03,120.44,1021,F,LTC,
97,6/2/1997,SMI,8,34.03,120.44,1021,F,WSR,Y
97,6/10/1997,SMI,8,34.03,120.44,1021,F,WSR,Y
99,6/4/1999,SMI,8,34.03,120.44,1021,F,EACS,
99,6/9/1999,SMI,8,34.03,120.44,1021,F,LTC,Y
99,6/12/1999,SMI,8,34.03,120.44,1021,F,LTC,Y
99,6/13/1999,SMI,8,34.03,120.44,1021,F,LTC,
99,5/30/1999,SMI,8,34.03,120.44,1021,F,EACS,
99,6/25/1999,SMI,8,34.03,120.44,1021,F,LTC,Y
2000,5/23/2000,SMI,8,34.03,120.44,1021,F,LTC,
2000,6/3/2000,SMI,8,34.03,120.44,1021,F,LTC,
2000,6/1/2000,SMI,8,34.03,120.44,1021,F,WJR,P
2000,6/6/2000,SMI,8,34.03,120.44,1021,F,LTC,Y
2000,6/7/2000,SMI,8,34.03,120.44,1021,F,LTC,Y
2000,6/8/2000,SMI,8,34.03,120.44,1021,F,LTC,Y
2000,6/9/2000,SMI,8,34.03,120.44,1021,F,LTC,Y
2000,6/11/2000,SMI,8,34.03,120.44,1021,F,LTC,
2000,6/12/2000,SMI,8,34.03,120.44,1021,F,LTC,
2000,6/10/2000,SMI,8,34.03,120.44,1021,F,LTC,
2000,6/4/2000,SMI,8,34.03,120.44,1021,F,LTC,Y
2000,6/5/2000,SMI,8,34.03,120.44,1021,F,LTC,Y
2000,6/15/2000,SMI,8,34.03,120.44,1021,F,LTC,
2000,7/20/2000,SMI,8,34.03,120.44,1021,F,LNC,
2000,8/7/2000,SMI,8,34.03,120.44,1021,F,LTC,
2001,6/3/2001,SMI,8,34.03,120.44,1021,F,LTC,
2001,6/9/2001,SMI,8,34.03,120.44,1021,F,WSR,Y
2001,6/14/2001,SMI,8,34.03,120.44,1021,F,WSR,Y
2001,6/16/2001,SMI,8,34.03,120.44,1021,F,WSR,
2001,6/20/2001,SMI,8,34.03,120.44,1021,F,WSR,
2001,6/30/2001,SMI,8,34.03,120.44,1021,F,WSR,
2001,7/2/2001,SMI,8,34.03,120.44,1021,F,WSR,
2001,7/23/2001,SMI,8,34.03,120.44,1021,F,WSR,
2002,5/29/2002,SMI,8,34.03,120.44,1021,F,WSR,P
2002,6/5/2002,SMI,8,34.03,120.44,1021,F,PCV,
2002,6/9/2002,SMI,8,34.03,120.44,1021,F,PCV,Y
2002,7/6/2002,SMI,8,34.03,120.44,1021,F,PCV,N
2002,7/11/2002,SMI,8,34.03,120.44,1021,F,PCV,
2002,7/23/2002,SMI,8,34.03,120.44,1021,F,PCV,Y
2003,6/2/2003,SMI,8,34.03,120.44,1021,F,PCV,P
2003,6/7/2003,SMI,8,34.03,120.44,1021,F,PCV,
2003,6/11/2003,SMI,8,34.03,120.44,1021,F,PCV,
2003,6/23/2003,SMI,8,34.03,120.44,1021,F,PCV,
2003,6/29/2003,SMI,8,34.03,120.44,1021,F,PCV,
2003,7/4/2003,SMI,8,34.03,120.44,1021,F,PCV,
2003,7/10/2003,SMI,8,34.03,120.44,1021,F,PCV,Y
2003,7/15/2003,SMI,8,34.03,120.44,1021,F,PCV,
96,7/30/1996,ANI,9,37.18,122.4,1023,F,,
93,7/20/1993,SMI,8,34.03,120.44,1024,F,WTB,N
94,6/9/1994,SMI,8,34.03,120.44,1024,F,WBM,
94,6/27/1994,SMI,8,34.03,120.44,1024,F,EAC,N
97,6/7/1997,SMI,8,34.03,120.44,1024,F,SCV,Y
97,6/9/1997,SMI,8,34.03,120.44,1024,F,SCV,Y
97,6/10/1997,SMI,8,34.03,120.44,1024,F,SCV,Y
97,6/12/1997,SMI,8,34.03,120.44,1024,F,SCV,
98,6/12/1998,SMI,8,34.03,120.44,1024,F,WTB,
98,6/26/1998,SMI,8,34.03,120.44,1024,F,SCV,
